Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
True,False,lnc-itc,0.0,0,0,0,0
True,False,lnc-itc,0.1,0.0392156862745098,0.05633802816901408,0.06428571428571428,1.3333333333333333
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
True,False,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.1,0.043478260869565216,0.06060606060606061,0.0077777777777777776,0.46307916206359123
False,True,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.05,1.0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.05,0.125,0.07142857142857144,0.015625,0.31546487678572877
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.1,0.058823529411764705,0.07407407407407408,0.1,1.6309297535714575
False,True,lnc-itc,0.15,0.11538461538461539,0.13043478260869565,0.029444444444444447,0.9232917162651612
False,True,lnc-itc,0.05,0.007874015748031496,0.013605442176870748,0.00625,0.31546487678572877
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.2,0.04395604395604396,0.07207207207207209,0.047247474747474746,1.234093243409049
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.05,0.012195121951219513,0.019607843137254905,0.0125,0.43067655807339306
False,True,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.0125,0.43067655807339306
False,True,lnc-itc,0.1,0.07692307692307693,0.08695652173913043,0.030263157894736843,0.8623079667312167
False,True,lnc-itc,0.15,0.2727272727272727,0.19354838709677416,0.05779220779220779,0.9478563892648278
False,True,lnc-itc,0.55,0.13580246913580246,0.21782178217821782,0.40862637362637366,4.406696683428503
False,True,lnc-itc,0.35,0.04861111111111111,0.08536585365853658,0.18956652996126683,2.9522544944126325
False,True,lnc-itc,0.1,0.08,0.08888888888888889,0.06666666666666667,1.3562071871080221
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.014583333333333332,0.6008577292262482
False,True,lnc-itc,0.25,0.09615384615384616,0.1388888888888889,0.10720551378446115,2.1241890452041163
False,True,lnc-itc,0.35,0.21212121212121213,0.26415094339622636,0.31341269841269837,3.5083530769113365
False,True,lnc-itc,0.3,0.10714285714285714,0.15789473684210525,0.11300420168067227,1.9585718701117916
False,True,lnc-itc,0.15,0.02608695652173913,0.04444444444444444,0.031442577030812324,0.929352987009487
False,True,lnc-itc,0.15,0.05,0.075,0.019106858054226475,0.760321158810889
False,True,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.030555555555555558,0.8663386669380958
False,True,lnc-itc,0.35,0.05223880597014925,0.09090909090909091,0.1472832722832723,2.2055377351628005
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.05,0.008547008547008548,0.014598540145985403,0.01,0.38685280723454163
False,True,lnc-itc,0.15,0.15,0.15,0.07582417582417582,1.5959828683705268
False,True,lnc-itc,0.25,0.13157894736842105,0.1724137931034483,0.1108974358974359,1.8649981570043377
False,True,lnc-itc,0.3,0.13953488372093023,0.1904761904761905,0.06601540616246498,1.514894773180699
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.1,0.05,0.06666666666666667,0.026666666666666665,0.7890648263178879
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.1,0.1111111111111111,0.10526315789473685,0.010239651416122006,0.4898124665681315
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.2,0.36363636363636365,0.25806451612903225,0.15757575757575756,1.644227902341341
False,True,lnc-itc,0.05,0.02,0.02857142857142857,0.003333333333333333,0.25
False,True,lnc-itc,0.05,0.07692307692307693,0.060606060606060615,0.07692307692307693,1.0
False,True,lnc-itc,0.1,0.012903225806451613,0.022857142857142854,0.015263157894736843,0.6182310203943008
False,True,lnc-itc,0.15,0.03896103896103896,0.061855670103092786,0.034444444444444444,0.9463020090898913
False,True,lnc-itc,0.0,0.0,0,0,0
